ID,Title,Author,Price & Format,,,,Overall Raiting,# of Reviews,Published Date,ISBN,Publisher,Genres,Language,Book Page,Rank
,,,Hard Copy,Paper Copy,eBook,Audio CD,,,,,,,,,
75,Demon Copperhead,Barbara Kingsolver,$32.50,$21.99,$16.99,$67.99,4,37,2022-10-18,9780063251984,HarperCollins Publishers,Fiction,English,560,75
76,A Court of Thorns and Roses (Series #1),Sarah J. Maas,$30.00,$19.99,$15.20,$0.00,4.7,417,2020-06-02,9781619634459,Bloomsbury Publishing,Romance,English,432,76
77,Fire Weather: A True Story from a Hotter World,John Vaillant,$32.50,,$14.99,,0,0,2023-06-06,9781524732851,Knopf Doubleday Publishing Group,Non-fiction,English,432,77
78,The Hunger Games (Hunger Games Series #1),Suzanne Collins,$20.99,$14.99,$9.99,$44.99,4.7,47824,2010-07-01,9780439023528,"Scholastic, Inc.",Fiction,English,384,78
79,Mockingjay (Hunger Games Series #3),Suzanne Collins,$17.99,$14.99,$9.99,,4.4,27271,2014-02-25,9780545663267,"Scholastic, Inc.",Fiction,English,400,79
80,Catching Fire (Hunger Games Series #2),Suzanne Collins,$22.99,$14.99,$14.99,$44.99,4.6,29123,2013-06-04,9780545586177,"Scholastic, Inc.",Fiction,English,400,80
81,"Share Some Kindness, Bring Some Light","Apryl Stott, Apryl Stott",$17.99,,$10.99,,5,3,2020-10-27,9781534462380,Simon & Schuster/Paula Wiseman Books,Children,English,40,81
82,Tom Lake (Signed Book), Ann Patchett,$30.00,$30.00,$15.99,$46.99,4.3,24,2023-08-02,9780063336117,HarperCollins Publishers,Fiction,English,320,82
83,Dirty Thirty (Stephanie Plum Series #30),Janet Evanovich,$29.99,$18.99,$14.99,$34.99,4.2,21,2023-10-31,9781668003114,Atria Books,Mystery,English,336,83
84,"Mastering the Art of French Cooking, Volume 1"," Julia Child, Louisette Bertholle, Simone Beck",$40.99,$35.00,$22.99,,3.9,219,1983-09-12,9780394721781,	Knopf Doubleday Publishing Group,Cooking,English,752,84
85,Lex's Halloween, Bass,$14.48,,,,5,7,2022-12-07,9798823159265,Barnes & Noble Press,Children,English,26,85
86,Two Twisted Crowns, Rachel Gillig,,$18.99,$9.99,,4.8,34,2023-10-17,9780316312714,Orbit,Fantasy,English,480,86
87,Throne of Glass (Series #1),Sarah J. Maas,$24.99,$19.00,$9.99,,4.6,465,2023-02-14,9781639730957,Bloomsbury USA,Fantasy,English,432,87
88,The Chronicles of Narnia Box Set,"C. S. Lewis, Pauline Baynes",$139.63,$62.93,,,4.3,74,1994-07-01,9780060244880,HarperCollins Publishers,Fiction,English,1632,88
89,The Narrow Road Between Desires,"Patrick Rothfuss, Nate Taylor",$26.00,$26.00,$15.99,,3.5,12,2023-11-14,9780756419240,Astra Publishing House,Fiction,English,240,89
90,Bookshops & Bonedust,Travis Baldree,,$17.99,$12.99,,4.3,17,2023-11-07,9781250886101,Tor Publishing Group,Science Fiction,English,352,90
91,Democracy Awakening: Notes on the State of America,Heather Cox Richardson,$30.00,,$14.99,,5.9,3,2023-09-26,9780593652961,Penguin Publishing Group,Historical,English,304,91
92,What the River Knows,Isabel Ibañez,$20.00,,$20.00,,4.4,31,2023-10-31,9781250345394,St. Martin's Publishing Group,Fantasy,English,416,92
93,The Christmas Guest: A Novella,Peter Swanson,$19.99,,$11.99,$27.99,4.2,18,2023-10-17,9780063297456,HarperCollins Publishers,Fiction,English,112,93
94,Influencers (Cat Kid Comic Club #5),"Dav Pilkey, ",$12.99,$12.99,$7.99,,5,1,2023-11-28,9781339034768,"Scholastic, Inc.",Children,English,224,94
95,"Killing the Witches: The Horror of Salem, Massachusetts"," Bill O'Reilly, Martin Dugard",$32.00,,$15.99,$39.99,4.2,6,2023-09-26,9781250283320,St. Martin's Publishing Group,Historical,English,304,95
96,From Blood and Ash (Series #1),Jennifer L. Armentrout,$31.99,$19.99,$7.99,$27.99,4.8,105,2022-01-13,9781952457760,"Evil Eye Concepts, Inc",Romance,English,494,96
97,Enough,Cassidy Hutchinson,$30.00,,$14.99,$44.99,4,17,2023-09-26,9781668028285,Simon & Schuster,Biography,English,384,97
98,Bluey 5-Minute Stories: 6 Stories in 1 Book? Hooray!,Penguin Young Readers,$14.99,,$8.99,,0,0,2022-10-22,9780593521908,Penguin Young Readers Group,Children,English,160,98
99,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 8,"Mo Xiang Tong Xiu, ZeldaCW, tai3_3",,$29.99,,,5,14,2023-11-28,9781685798468,Seven Seas Entertainment,Manga,English,384,99
100,Divine Rivals: A Novel,Rebecca Ross,$18.99,$12.00,$11.99,,4.9,61,2023-04-04,9781250857439,St. Martin's Publishing Group,Fantasy,English,368,100
